id,latitude,longitude
4497027,35.2890937544,93.3154968875
17577367,34.3661888889,95.6990611111
17637357,32.5889527778,96.5709388889
29506651,33.2155331755,97.4098905582
35070237,37.229346,100.10809
37275763,33.8363460462,102.9475252985
38258864,32.943015164,95.6795022308
41186705,32.4641111301,102.5461570993
54263893,32.998766283,98.1846148653
85741337,33.7098750375,102.9647233947
89290614,35.744798,96.4077358
89290816,35.744798,96.4077358
93029689,32.8352275931,97.1530590479
96979975,33.0304092903,97.0871382103
110264054,33.944828,102.843664
115070131,32.6278148567,95.4212135367
123814560,32.9045041485,97.0514937093
133740294,33.2188211843,96.498763979
133740295,33.2439309512,96.4465968089
133740296,33.2721225252,96.3690175781
133759595,34.2009518199,95.78739707
143544076,35.9013074521,93.4238266325
144472034,27.9833333,88.7
144734918,33.4122491891,97.2970300913
148110735,27.9492258243,88.5792778772
155283347,35.5956272966,97.3782849779
159774753,32.8284716667,91.91417
160288565,33.3469142237,97.5369809637
161359750,28.0257555,88.7096926
165113725,33.2227383617,96.5353715974
168264335,31.37925307,89.0863817503
170652032,33.5748466667,97.6867366667
171130894,33.063924,100.986328
171204813,33.0645654444,100.6290552116
171209259,33.3814083333,98.0249861667
173401845,32.7896339645,79.0062250569
173430485,34.4000846738,100.2737082081
177332001,35.11285,97.8891133333
177812380,31.3746186748,101.391801789
177812383,32.1780407508,101.9637438909
177812384,32.4751153402,101.2606188909
177816089,37.3475245922,99.8341389691
178504109,33.06624,95.16981
178504110,33.06624,95.16981
179101694,36.88344,100.53179
179508936,36.8587906046,99.6346249038
179513206,36.8573746593,99.633838457
180103601,33.1940686975,97.0335143038
180103602,33.0151641245,97.1758276061
180405596,32.7908078819,79.0002219379
181943284,33.2774911467,96.4279873297
183178603,32.7418183333,78.9494683333
184551031,33.7700063727,101.6991946746
187656703,28.5089533333,90.5422583333
188966631,35.85655,94.11461
188978243,33.1346093264,103.2838991378
189564787,28.7810732201,85.5097689672
190288630,36.9291722222,90.2400111111
194519486,34.2118716936,95.6884128477
194601996,37.067523461,99.6842926838
197715547,34.54923,95.61757
198649446,38.4755110244,98.3292096503
204332793,36.391554719,98.8510265247
207907674,35.431701,93.601761
208909732,32.452569511,102.7551857182
220191826,39.0054023515,97.3427767856
230672203,33.0322438585,97.2649673327
232137941,36.129035,99.208346
232952992,37.0513444951,99.7108105502
234306646,32.9870269647,101.7503687521
234479685,32.9160430951,101.6296541675
236035178,34.9030516667,102.6856616667
236035180,34.900635,102.68808
236248066,34.2268475,77.5619419
236266222,34.2268475,77.5619419
236478073,32.790808,79.0002221
237227120,34.113857,96.080211
237661501,34.0933279722,96.5600129722
237834990,33.206561,96.5503649722
238777531,32.9571566667,101.6783416667
238777532,32.9571566667,101.6778616667
238777533,32.95727,101.67693
238777538,32.9548616667,101.6776666667
238777835,32.9385366667,101.664145
239551331,34.288119172,95.5557939455
239923524,33.3374024026,97.5657051095
241465439,33.1444537371,103.0169766574
241465448,32.8926600807,102.9520418048
244915507,33.5557079353,102.455592991
244915739,33.5578899584,102.4797450873
244940836,37.2804491212,97.3226996705
245803532,33.6297900988,102.9549596194
246954184,35.3572420365,99.2217025751
246954289,33.8283792486,97.1520288846
246954292,33.8283792486,97.1520288846
246954294,33.8283792486,97.1520288846
246954304,33.7694716621,96.9638720432
247040191,34.11388,96.0802439722
247040194,34.11388,96.0802439722
247239931,34.0941370785,96.5583180009
247339086,33.2066089973,96.5502607736
247339092,33.2066089973,96.5502607736
247339099,33.2066089973,96.5502607736
248393635,33.6861498822,102.8593242939
248481902,29.3035388889,83.9678305556
249009026,34.5087879656,99.1463835994
249020524,31.4492144633,93.7202485617
250435551,38.6578960028,97.8364277756
251146550,33.6878936269,102.9783920199
251550045,33.8470674083,93.7758252434
251757959,37.0922280965,99.7475719143
251758001,37.0922280965,99.7475719143
251894480,32.7745410452,78.9893761293
251894483,32.7745410452,78.9893761293
251894486,32.7745410452,78.9893761293
251894487,32.7745410452,78.9893761293
251894489,32.7745410452,78.9893761293
257216987,33.979904,102.551711
259113254,36.6208699,101.7801099
259113278,36.6208699,101.7801099
259113282,36.6208699,101.7801099
259398822,32.4275169372,102.3888778686
260284081,32.7908078819,79.0002219379
260458664,33.914,102.815
